id,display,community,num_conv,mean_depth_branches,mean_length_msgs,likesCom,likesOther,totalLikesCom,totalLikesOther,badWords,totalUpper,totalData,debatesCom,depthDebatesCom,debatesOther,dephDebatesOther,totalStartedConvs,totalStartedConvs,topicCreator,totalUsersComInteraction,totalUsersOtherInteraction
AAAA019325403@thesun.fyre.co,Hereward Wake,0,0.6269270298047277,0.2678132678132678,0.06511263187909894,0.5826513911620295,0.05237315875613748,0.24362139917695474,0.43636363636363634,0.0032733224222585926,0.0016366612111292963,0.1276595744680851,0.024549918166939442,0.4227941176470588,0.09983633387888707,0.47716627634660425,0.6836935166994106,0.02586206896551724,0.5695581014729951,0.43262252151141045,0.6333333333333333
AAAA012424117@thesun.fyre.co,Jayne Smith,0,0.005138746145940391,0.08333333333333334,0.041005291005291,1.0,0.0,0.015637860082304528,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.007858546168958742,0.0,0.6666666666666666,0.0,0.0
AAAA017056029@thesun.fyre.co,Jacques Bedard,0,0.0041109969167523125,0.175,0.05714285714285714,0.8,0.0,0.006584362139917695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005893909626719056,0.0,0.6,0.0,0.0
AAAA018099914@thesun.fyre.co,Jo mo kan yatter,0,0.5765673175745119,0.15799120234604108,0.13541373156757772,0.50355871886121,0.042704626334519574,0.1934156378600823,0.5090909090909091,0.0035587188612099642,0.0035587188612099642,0.10320284697508897,0.0017793594306049821,0.5625,0.008896797153024912,0.38571428571428573,0.5893909626719056,0.01,0.5338078291814946,0.030901608679386457,0.16666666666666666
AAAA014509024@thesun.fyre.co,Jon Golightly,0,0.24152106885919836,0.062258687258687245,0.055673258003766476,0.673728813559322,0.05508474576271186,0.18847736625514402,0.1818181818181818,0.00423728813559322,0.0,0.13559322033898305,0.0,0.0,0.0,0.0,0.45383104125736734,0.0,0.9788135593220338,0.0,0.0
AAAA011437016@thesun.fyre.co,tim colahan,0,0.21274409044193218,0.10617154811715482,0.09161490683229813,0.6634615384615384,0.03365384615384615,0.15637860082304528,0.16363636363636364,0.0,0.004807692307692308,0.07211538461538461,0.009615384615384616,0.28125,0.0,0.0,0.3359528487229862,0.011695906432748537,0.8221153846153846,0.030901608679386457,0.0
AAAA018786933@thesun.fyre.co,Working Class Hero,0,0.24049331963001028,0.33475232198142413,0.06939657006681135,0.6510638297872341,0.04680851063829787,0.12345679012345678,0.0909090909090909,0.0,0.0,0.1276595744680851,0.05106382978723404,0.47,0.15319148936170213,0.4969604863221884,0.11198428290766207,0.10526315789473684,0.2425531914893617,0.1545080433969323,0.3666666666666667
AAAA015939267@thesun.fyre.co,Renegade,0,1.0,0.20592105263157895,0.053362249292481845,0.5462012320328542,0.026694045174537988,0.2617283950617284,0.4,0.01026694045174538,0.012320328542094456,0.11806981519507187,0.02566735112936345,0.4319852941176471,0.04004106776180698,0.5200892857142857,0.8958742632612966,0.05043859649122807,0.4681724845995893,0.5871305649083427,0.5333333333333333
AAAA020581735@thesun.fyre.co,Shahan Naseer,3,0.009249743062692703,0.19642857142857145,0.12118437118437118,0.1,0.0,0.004842615012106538,0.0,0.0,0.0,0.5,0.0,0.0,0.1,0.3571428571428571,0.015717092337917484,0.125,0.8,0.0,0.011563517915309447
AAAA019201919@thesun.fyre.co,rob medley,3,0.0020554984583761567,0.25,0.051587301587301584,0.6666666666666666,1.0,0.007263922518159807,0.06307373408350607,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.003929273084479371,0.0,0.6666666666666666,0.0,0.0
